;Structure;Regex;Method;Example;Fact;IF Sentence then ... ;IF ... then Sentence
35;CNoun Variable is Adjective Preposition CNoun Variable.;.* [a-z] is(n't | n't | not | ).* [a-z] \\.$;cNounVariableIsAdjectivePrepositioncNounVariable;Person X is married to person Y.;;... :- married_to(X, Y), person(X), person(Y).;married_to(X, Y) :- ...
36;CNoun Variable is not Adjective Preposition CNoun Variable.;.* [a-z] is(n't | n't | not | ).* [a-z] \\.$;cNounVariableIsAdjectivePrepositioncNounVariable;Person X is not married to person Y.;;... :- not married_to(X, Y), person(X), person(Y).; - married_to(X, Y) :- ...
37;[a] PNoun Verb a CNoun as [a] Pnoun.;.* a .* as .*\\.$;pNounVerbACNounAsPNoun;Roberta holds a job as a nurse.;;... :- hold(roberta, nurse), job(nurse).;hold(roberta, nurse) :- ...
38;[a] Pnoun not Verb a CNoun as [a] Pnoun.;.* a .* as .*\\.$;pNounVerbACNounAsPNoun;Roberta does not hold a job as a nurse.;;... :- not hold(roberta, nurse), job(nurse).; - hold(roberta, nurse) :- ...
39;[a] CNoun Variable Verb a CNoun as [a] Pnoun.;.* [a-z] .* a .* as .*\\.$;cNounVariableVerbACNounAsPNoun;Person X holds a job as nurse.;;... :- hold(X, nurse), person(X), job(nurse).;hold(X, nurse) :- ...
40;[a] CNoun Variable not Verb a CNoun as [a] Pnoun.;.* [a-z] .* a .* as .*\\.$;cNounVariableVerbACNounAsPNoun;Person X does not hold a job as a nurse.;;... :- not hold(X, nurse), person(X), job(nurse).; - hold(X, nurse)  :- ...
41;[a] CNoun Variable Verb [a] CNoun Variable.;.* [a-z] .* [a-z] \\.$;cNounVariableVerbCNounVariable;Person X holds job Y.;;... :- hold(X, Y), person(X), job(Y).; hold(X, Y):- ...
42;[a] CNoun Variable not Verb [a] CNoun Variable.;.* [a-z] .* [a-z] \\.$;cNounVariableVerbCNounVariable;Person X does not hold job Y.;;... :- not hold(X, Y), person(X), job(Y).; - hold(X, Y) :- ...
43;[a] CNoun Variable Verb Preposition [a] CNoun Variable.;.* [a-z] .* [a-z] \\.$;cNounVariableVerbCNounVariable;Person X works for person Y.;;... :- work_for(X, Y), person(X), person(Y).;work_for(X, Y) :- ...
44;[a] CNoun Variable not Verb Preposition [a] CNoun Variable.;.* [a-z] .* [a-z] \\.$;cNounVariableVerbCNounVariable;Person X does not work for person Y.;;... :- not work_for(X, Y), person(X), person(Y).; - work_for(X, Y) :- ...
45;CNoun Variable Verb PNoun.;.* [a-z] .*\\.$;cNounVariableVerbPnoun;Person X studies computer science.;;... :- study(X, computerscience), person(X).;study(X, computerscience) :- ...
46;CNoun Variable not Verb PNoun.;.* [a-z] .*\\.$;cNounVariableVerbPnoun;Person X does not studies computer science.;;... :- not study(X, computerscience), person(X).; - study(X, computerscience) :- ...
47;CNoun Variable Verb Preposition PNoun.;.* [a-z] .*\\.$;cNounVariableVerbPnoun;Person X studies at TU Wien.;;... :- study_at(X, tuwien), person(X).;study_at(X, tuwien) :- ...
48;CNoun Variable not Verb Preposition PNoun.;.* [a-z] .*\\.$;cNounVariableVerbPnoun;Person X does not study at TU Wien.;;... :- not study_at(X, tuwien), person(X).; - study_at(X, tuwien) :- ...
49;PNoun Verb CNoun Variable.;.* [a-z] \\.$;pNounVerbCNounVariable;Roberta holds job X.;;... :- hold(roberta, X), job(X).;hold(roberta, X) :- ...
